local;cod;quant;dicofre
Portugal;PT;37234;PT
Continente;1;35946;1
Centro;16;14064;16
Alentejo;18;10015;18
Norte;11;9439;11
Beiras e Serra da Estrela;16J;3320;16J
Baixo Alentejo;184;3165;184
Alentejo Central;187;2622;187
Alto Tâmega;11B;2209;11B
Viseu Dão Lafões;16G;2125;16G
Beira Baixa;16H;2024;16H
Terras de Trás-os-Montes;11E;2020;11E
Região de Coimbra;16E;1858;16E
Alto Alentejo;186;1659;186
Médio Tejo;16I;1579;16I
Oeste;16B;1575;16B
Lezíria do Tejo;185;1453;185
Algarve;15;1437;15
Algarve;150;1437;150
Região de Leiria;16F;1212;16F
Douro;11D;1206;11D
Alto Minho;111;1128;111
Alentejo Litoral;181;1116;181
Área Metropolitana de Lisboa;17;992;17
Área Metropolitana de Lisboa;170;992;170
Ave;119;921;119
Alandroal;1870701;902;870701
Castelo Branco;16H0502;730;6H0502
Cávado;112;692;112
Área Metropolitana do Porto;11A;651;11A
Montalegre;11B1706;615;1B1706
Tâmega e Sousa;11C;612;11C
Odemira;1810211;596;810211
Portalegre;1861214;582;861214
Ribeira de Pena;11B1709;575;1B1709
Fundão;16J0504;549;6J0504
Santarém;1851416;524;851416
Mogadouro;11E0408;521;1E0408
Guarda;16J0907;517;6J0907
Moura;1840210;495;840210
Penamacor;16H0507;461;6H0507
Torres Vedras;16B1113;448;6B1113
Mértola;1840209;444;840209
Serpa;1840213;439;840213
Beja;1840205;422;840205
Sabugal;16J0911;406;6J0911
Terras de Bouro;1120310;398;120310
São Pedro do Sul;16G1816;396;6G1816
União das freguesias de Alandroal (Nossa Senhora da Conceição), São Brás dos Matos (Mina do Bugalho) e Juromenha (Nossa Senhora do Loreto);187070107;393;070107
Arcos de Valdevez;1111601;391;111601
Proença-a-Nova;16H0508;387;6H0508
Região de Aveiro;16D;373;16D
Covilhã;16J0503;372;6J0503
Aguiar da Beira;16G0901;369;6G0901
Castro Daire;16G1803;361;6G1803
Vila Pouca de Aguiar;11B1713;357;1B1713
Almodôvar;1840202;357;840202
Sertã;16I0509;356;6I0509
Ourique;1840212;351;840212
Bragança;11E0402;349;1E0402
Reguengos de Monsaraz;1870711;334;870711
Lourinhã;16B1108;308;6B1108
Santiago Maior;187070103;304;070103
Cuba;1840207;299;840207
Pombal;16F1015;293;6F1015
Macedo de Cavaleiros;11E0405;292;1E0405
Santiago do Cacém;1811509;292;811509
Mondim de Basto;1191705;290;191705
Cuba;184020701;288;020701
Boticas;11B1702;283;1B1702
Celorico da Beira;16J0903;274;6J0903
Cabeceiras de Basto;1190304;268;190304
Chamusca;1851407;268;851407
Seia;16J0912;263;6J0912
Loulé;1500808;262;500808
Mirandela;11E0407;257;1E0407
Castro Marim;1500804;240;500804
Alvadia;11B170901;235;170901
Vila Real;11D1714;233;1D1714
Rio Maior;1851414;229;851414
União das freguesias de Cerva e Limões;11B170908;227;170908
Abrantes;16I1401;225;6I1401
Leiria;16F1009;224;6F1009
Porto de Mós;16F1016;224;6F1016
Coimbra;16E0603;222;6E0603
União das freguesias de Vila Nova de São Bento e Vale de Vargo;184021309;219;021309
Chaves;11B1703;217;1B1703
Ourém;16I1421;217;6I1421
Mafra;1701109;217;701109
Mourão;1870708;216;870708
União das freguesias de Ermelo e Pardelhas;119170510;214;170510
Ponte de Lima;1111607;212;111607
Amarante;11C1301;210;1C1301
Portel;1870709;205;870709
Gouveia;16J0906;202;6J0906
Soure;16E0615;199;6E0615
Alcoutim;1500802;199;500802
Ferreira do Zêzere;16I1411;195;6I1411
Coruche;1851409;195;851409
Alcobaça;16B1001;193;6B1001
Ponte de Sor;1861213;193;861213
União das freguesias de Almodôvar e Graça dos Padrões;184020209;192;020209
Nisa;1861212;192;861212
Redondo;1870710;190;870710
Montemor-o-Novo;1870706;189;870706
Vinhais;11E0412;182;1E0412
Penamacor;16H050710;181;050710
Alenquer;16B1101;180;6B1101
Gavião;1861209;180;861209
Tondela;16G1821;178;6G1821
Trancoso;16J0913;178;6J0913
Terena (São Pedro);187070105;178;070105
Vouzela;16G1824;177;6G1824
Idanha-a-Nova;16H0505;176;6H0505
Alturas do Barroso e Cerdedo;11B170217;173;170217
Melgaço;1111603;170;111603
Oliveira do Hospital;16E0611;168;6E0611
Ansião;16F1003;168;6F1003
Alegrete;186121402;165;121402
Valpaços;11B1712;162;1B1712
