local;cod;quant;dicofre
Portugal;PT;520759;PT
Braga (São Vicente);112030349;0;030349
União das freguesias de Braga (São José de São Lázaro e São João do Souto);112030365;0;030365
União das freguesias de Oliveira, São Paio e São Sebastião;119030884;0;030884
Espinho;11A010702;0;010702
Bonfim;11A131202;0;131202
União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;11A131217;0;131217
União das freguesias de Santa Marinha e São Pedro da Afurada;11A131730;0;131730
São Pedro;16E060514;0;060514
Alfragide;170111512;0;111512
Alvalade;170110654;0;110654
Areeiro;170110655;0;110655
Arroios;170110656;0;110656
Avenidas Novas;170110657;0;110657
Beato;170110607;0;110607
Campolide;170110610;0;110610
Carnide;170110611;0;110611
Estrela;170110660;0;110660
Misericórdia;170110661;0;110661
Parque das Nações;170110662;0;110662
Penha de França;170110663;0;110663
Santa Clara;170110664;0;110664
Santo António;170110666;0;110666
São Domingos de Benfica;170110639;0;110639
São Vicente;170110667;0;110667
Continente;1;507671;1
Alentejo;18;247731;18
Centro;16;216028;16
Lezíria do Tejo;185;135933;185
Região de Leiria;16F;96370;16F
Oeste;16B;87906;16B
Santarém;1851416;87862;851416
Leiria;16F1009;68775;6F1009
Alentejo Litoral;181;52225;181
Alcanede;185141604;43124;141604
Almoster;185141606;42474;141606
Alcobaça;16B1001;38773;6B1001
Alentejo Central;187;32971;187
Grândola;1811505;32818;811505
União das freguesias de Grândola e Santa Margarida da Serra;181150506;29521;150506
Évora de Alcobaça;16B100108;24197;100108
Baixo Alentejo;184;22794;184
União das freguesias de Santa Eufémia e Boa Vista;16F100939;22274;100939
Área Metropolitana de Lisboa;17;22242;17
Área Metropolitana de Lisboa;170;22242;170
Rio Maior;1851414;21476;851414
Porto de Mós;16F1016;19362;6F1016
Norte;11;18603;11
Alenquer;16B1101;17390;6B1101
Calvaria de Cima;16F101605;16021;101605
Ota;16B110109;14281;110109
Santiago do Cacém;1811509;14275;811509
Torres Vedras;16B1113;13120;6B1113
Médio Tejo;16I;12348;16I
Montijo;1701507;10752;701507
Regueira de Pontes;16F100921;10723;100921
Bidoeira de Cima;16F100926;10622;100926
Montemor-o-Novo;1870706;8704;870706
Arraiolos;1870702;8676;870702
União das freguesias de Santiago do Cacém, Santa Cruz e São Bartolomeu da Serra;181150912;8500;150912
Vimieiro;187070206;8262;070206
Coimbrão;16F100909;7452;100909
União das freguesias de Nossa Senhora da Vila, Nossa Senhora do Bispo e Silveiras;187070612;7320;070612
Caldas da Rainha;16B1006;7140;6B1006
Azambuja;1851103;6697;851103
Rio Maior;185141408;6482;141408
Cartaxo;1851406;6251;851406
Região de Coimbra;16E;6214;16E
Canha;170150701;5537;150701
Salvaterra de Magos;1851415;5188;851415
União das freguesias de Glória do Ribatejo e Granho;185141507;5184;141507
Amor;16F100901;5127;100901
Turquel;16B100114;5029;100114
Beja;1840205;4995;840205
Azambuja;185110304;4979;110304
Pombal;16F1015;4900;6F1015
Lourinhã;16B1108;4820;6B1108
Ave;119;4774;119
Ferreira do Alentejo;1840208;4759;840208
Alvorninha;16B100602;4694;100602
União das freguesias de Ferreira do Alentejo e Canhestros;184020808;4623;020808
Palmela;1701508;4487;701508
União das freguesias de Campelos e Outeiro da Cabeça;16B111322;4410;111322
Alcochete;1701502;4032;701502
Alcochete;170150201;4032;150201
União das freguesias de Marmeleira e Assentiz;185141416;3932;141416
Viseu Dão Lafões;16G;3927;16G
Alto Alentejo;186;3809;186
Beiras e Serra da Estrela;16J;3800;16J
União das freguesias de Pegões;170150711;3795;150711
Ferreira do Zêzere;16I1411;3709;6I1411
