local;cod;quant;dicofre
Portugal;PT;218202;PT
Braga (São Vicente);112030349;0;030349
União das freguesias de Braga (São José de São Lázaro e São João do Souto);112030365;0;030365
União das freguesias de Oliveira, São Paio e São Sebastião;119030884;0;030884
Espinho;11A010702;0;010702
Bonfim;11A131202;0;131202
União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;11A131217;0;131217
União das freguesias de Santa Marinha e São Pedro da Afurada;11A131730;0;131730
São Pedro;16E060514;0;060514
Alfragide;170111512;0;111512
Alvalade;170110654;0;110654
Areeiro;170110655;0;110655
Arroios;170110656;0;110656
Avenidas Novas;170110657;0;110657
Beato;170110607;0;110607
Campolide;170110610;0;110610
Carnide;170110611;0;110611
Estrela;170110660;0;110660
Misericórdia;170110661;0;110661
Parque das Nações;170110662;0;110662
Penha de França;170110663;0;110663
Santa Clara;170110664;0;110664
Santo António;170110666;0;110666
São Domingos de Benfica;170110639;0;110639
São Vicente;170110667;0;110667
Continente;1;217175;1
Alentejo;18;119894;18
Centro;16;55859;16
Baixo Alentejo;184;39977;184
Norte;11;32646;11
Alentejo Central;187;31146;187
Alto Alentejo;186;29427;186
Beiras e Serra da Estrela;16J;20144;16J
Terras de Trás-os-Montes;11E;14586;11E
Beira Baixa;16H;13848;16H
Alentejo Litoral;181;13407;181
Mértola;1840209;7987;840209
Médio Tejo;16I;6745;16I
Serpa;1840213;6409;840213
Lezíria do Tejo;185;5937;185
Ponte de Sor;1861213;5868;861213
Castelo Branco;16H0502;5860;6H0502
Ourique;1840212;5787;840212
Idanha-a-Nova;16H0505;5544;6H0505
Montemor-o-Novo;1870706;5463;870706
Alto Tâmega;11B;5191;11B
Viseu Dão Lafões;16G;5067;16G
Área Metropolitana de Lisboa;17;4750;17
Área Metropolitana de Lisboa;170;4750;170
Évora;1870705;4401;870705
Santiago do Cacém;1811509;4172;811509
Fundão;16J0504;4056;6J0504
Algarve;15;4027;15
Algarve;150;4027;150
Douro;11D;3995;11D
Almodôvar;1840202;3987;840202
Estremoz;1870704;3925;870704
Região de Coimbra;16E;3906;16E
Odemira;1810211;3884;810211
União das freguesias de Ponte de Sor, Tramaga e Vale de Açor;186121308;3569;121308
Alto Minho;111;3444;111
Bragança;11E0402;3393;1E0402
